InternalId,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
4611,4611,104104,4611,0,0,0,,HongKong80.LL,HongKong80.LL,HongKong80.LL,Hong Kong 1980,GCS_Hong_Kong_1980,Hong Kong 1980,,,Hong Kong 1980,,,,,,,,,0,0,0
4612,4612,4612,4612,0,0,0,,JGD2000.LL,JGD2000.LL,JGD2000.LL,JGD2000,GCS_JGD_2000,JGD2000,,,JGD2000,,,,,,,,,0,0,0
4613,4613,4613,4613,0,0,0,,Segara.LL,GunungSegara.LL,Segara.LL,Segara,GCS_Gunung_Segara,Segara,,,Segara,,,,,,,,,0,0,0
4614,4614,4614,4614,0,0,0,,QatarNtl95.LL,QatarNtl95.LL,QatarNtl95.LL,QND95,GCS_QND_1995,QND95,,,QND95,,,,,,,,,0,0,0
4615,4615,4615,4615,0,0,8298,,MADEIRA.LL,PortoSanto.LL,MADEIRA.LL,Porto Santo,GCS_Porto_Santo_1936,Porto Santo,,,Porto Santo,,,,Longitude / Latitude (Southeast Base),,,,,0,0,0
4616,4616,37250,4616,0,0,0,,SelvagemGrande.LL,SelvagemGrande.LL,SelvagemGrande.LL,Selvagem Grande,GCS_Selvagem_Grande_1938,Selvagem Grande,,,Selvagem Grande,,,,,,,,,0,0,0
4617,4617,0,4617,0,0,0,,LL-CSRS,CSRS.LL,LL-CSRS,NAD83(CSRS),,NAD83(CSRS),,,NAD83(CSRS),,,,,,,,,0,0,0
4618,4618,0,0,0,0,8292,,SAD69.LL,SAD69.LL,SAD69.LL/01,SAD69,,,,,,,,,Longitude / Latitude (SAD 69),,,,,0,0,0
4619,4619,4619,4619,0,0,0,,SWEREF99.LL,SWEREF99.LL,SWEREF99.LL,SWEREF99,GCS_SWEREF99,SWEREF99,,,,,,,,,,,,0,0,0
4620,4620,37211,4620,0,0,0,,Point58.LL,Point58.LL,Point58.LL,Point 58,GCS_Point_58,Point 58,,,,,,,,,,,,0,0,0
