SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,0,0,0,0,0,0,0,TMBLI-B,,TMBLI-B,wktTMBLI-B,wktTMBLI-B,wktTMBLI-B,,,wktTMBLI-B,,,,wktTMBLI-B,,,,"TMBLI-B is a 3 parameter equivalent to Timbalai, which is a DMA multiple regression definition of Timbalai 1948.  Not much difference between the two.  Choice of using Timbalai as the default was rather arbitrary.",,,
200,6001,0,0,0,0,0,,,,,Not specified (based on Airy 1830 ellipsoid),D_Airy_1830,Not specified (based on Airy 1830 ellipsoid) (EPSG ID 6001),,,Not specified (based on Airy 1830 ellipsoid),,,,,,,,,0,0,0
300,6002,0,0,0,0,0,,,,,Not specified (based on Airy Modified 1849 ellipsoid),D_Airy_Modified,Not specified (based on Airy Modified 1849 ellipsoid) (EPSG ID 6002),,,Not specified (based on Airy Modified 1849 ellipsoid),,,,,,,,,0,0,0
400,6003,0,0,0,0,0,,,,,Not specified (based on Australian National Spheroid),D_Australian,Not specified (based on Australian National Spheroid) (EPSG ID 6003),,,Not specified (based on Australian National Spheroid),,,,,,,,,0,0,0
500,6004,0,0,0,0,0,,,,,Not specified (based on Bessel 1841 ellipsoid),D_Bessel_1841,Not specified (based on Bessel 1841 ellipsoid) (EPSG ID 6004),,,Not specified (based on Bessel 1841 ellipsoid),,,,,,,,,0,0,0
600,6005,0,0,0,0,0,,,,,Not specified (based on Bessel Modified ellipsoid),D_Bessel_Modified,Not specified (based on Bessel Modified ellipsoid) (EPSG ID 6005),,,Not specified (based on Bessel Modified ellipsoid),,,,,,,,,0,0,0
700,6006,0,0,0,0,0,,,,,Not specified (based on Bessel Namibia ellipsoid),D_Bessel_Namibia,Not specified (based on Bessel Namibia ellipsoid) (EPSG ID 6006),,,Not specified (based on Bessel Namibia ellipsoid),,,,,,,,,0,0,0
800,6007,0,0,0,0,0,,,,,Not specified (based on Clarke 1858 ellipsoid),D_Clarke_1858,Not specified (based on Clarke 1858 ellipsoid) (EPSG ID 6007),,,Not specified (based on Clarke 1858 ellipsoid),,,,,,,,,0,0,0
900,6008,0,0,0,0,0,,,,,Not specified (based on Clarke 1866 ellipsoid),D_Clarke_1866,Not specified (based on Clarke 1866 ellipsoid) (EPSG ID 6008),,,Not specified (based on Clarke 1866 ellipsoid),,,,,,,,,0,0,0
1000,6009,0,0,0,0,0,,,,,Not specified (based on Clarke 1866 Michigan ellipsoid),D_Clarke_1866_Michigan,Not specified (based on Clarke 1866 Michigan ellipsoid) (EPSG ID 6009),,,Not specified (based on Clarke 1866 Michigan ellipsoid),,,,,,,,,0,0,0
