SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,8802,,,,,,1,Central Meridian,,Central Meridian,,Longitude_Of_Origin,,,,,,,,,central_meridian,,,,,,
200,8823,,,,,,2,Northern Standard Parallel,,Northern Standard Parallel,Latitude of 1st standard parallel,Standard_Parallel_1,Standard_Parallel_1,,,standard_parallel1,standard_parallel_1,standard_parallel_1,StdParallel1,Standard_Parallel_1,,,,,,,
300,8824,,,,,,3,Southern Standard Parallel,,Southern Standard Parallel,Latitude of 2nd standard parallel,Standard_Parallel_2,Standard_Parallel_2,,,standard_parallel2,standard_parallel_2,standard_parallel_2,StdParallel2,Standard_Parallel_2,,,,,,,
400,0,,,,,,4,Standard Parallel,,Standard Parallel,,Standard_Parallel_1,,,,,standard_parallel_1,standard_parallel_1,,,,,,,,,
500,0,,,,,,5,First Point Longitude,,First Point Longitude,,Longitude_Of_1st_Point,,,,Longitude_Of_1st_Point,longitude_of_point_1,longitude_of_point_1,,,,,,,,,
600,0,,,,,,6,First Point Latitude,,First Point Latitude,,Latitude_Of_1st_Point,,,,Latitude_Of_1st_Point,latitude_of_point_1,latitude_of_point_1,,,,,,,,,
700,0,,,,,,7,Second Point Longitude,,Second Point Longitude,,Longitude_Of_2nd_Point,,,,Longitude_Of_2nd_Point,longitude_of_point_2,longitude_of_point_2,,,,,,,,,
800,0,,,,,,8,Second Point Latitude,,Second Point Latitude,,Latitude_Of_2nd_Point,,,,Latitude_Of_2nd_Point,latitude_of_point_2,latitude_of_point_2,,,,,,,,,
900,8812,,,,,,9,Central Point Longitude,,Central Point Longitude,Longitude of projection centre,Longitude_Of_Center,Longitude_Of_Center,,,,longitude_of_center,longitude_of_center,CenterLong,,,,,,,,
1000,8811,,,,,,10,Central Point Latitude,,Central Point Latitude,Latitude of projection centre,Latitude_Of_Center,Latitude_Of_Center,,,,latitude_of_center,latitude_of_center,CenterLat,,,,,,,,
1100,8813,,,,,,11,Geodesic Azimuth at Projection Center,,Geodesic Azimuth at Projection Center,Azimuth of initial line,Azimuth,Azimuth,,,,azimuth,azimuth,AzimuthAngle,Azimuth,,,,,,,
1200,0,,,,,,12,Y Axis Azimuth,,Y Axis Azimuth,,,,,,,,,,,,,,,,,
1300,0,,,,,,13,Eastern Standard Meridian,,Eastern Standard Meridian,,,,,,,,,,,,,,,,,
1400,0,,,,,,14,Northern Parallel,,Northern Parallel,,,,,,,,,,,,,,,,,
1500,0,,,,,,15,Southern Parallel,,Southern Parallel,,,,,,,,,,,,,,,,,
1600,0,,,,,,16,First Pole Longitude,,First Pole Longitude,,,,,,,,,,,,,,,,,
1700,0,,,,,,17,First Pole Latitude,,First Pole Latitude,,,,,,,,,,,,,,,,,
1800,0,,,,,,18,Second Pole Longitude,,Second Pole Longitude,,,,,,,,,,,,,,,,,
1900,0,,,,,,19,Second Pole Latitude,,Second Pole Latitude,,,,,,,,,,,,,,,,,
2000,0,,,,,,20,Distance Between Poles,,Distance Between Poles,,,,,,,,,,,,,,,,,
2100,0,,,,,,21,Distance to First Standard Parallel,,Distance to First Standard Parallel,,,,,,,,,,,,,,,,,
2200,0,,,,,,22,Distance to Second Standard Parallel,,Distance to Second Standard Parallel,,,,,,,,,,,,,,,,,
2300,0,,,,,,23,Complex Series Coefficient A%d,,Complex Series Coefficient A%d,,,,,,,,,,,,,,,,,
2400,0,,,,,,24,Complex Series Coefficient B%d,,Complex Series Coefficient B%d,,,,,,,,,,,,,,,,,
2500,0,,,,,,25,Western End of Longitude Range,,Western End of Longitude Range,,,,,,,,,,,,,,,,,
2600,0,,,,,,26,Eastern End of Longitude Range,,Eastern End of Longitude Range,,,,,,,,,,,,,,,,,
2700,0,,,,,,27,UTM Zone Number (1 - 60),,UTM Zone Number (1 - 60),,,,,,,,,,,zone,,,,,,
2800,0,,,,,,28,"Hemisphere, North or South",,"Hemisphere, North or South",,,,,,,,,,,,,,,,,
2900,0,,,,,,29,Average Geoid Height (meters),,Average Geoid Height (meters),,,,,,,,,,,,,,,,,
3000,0,,,,,,30,Average Elevation (system unit),,Average Elevation (system unit),,,,,,,,,,,,,,,,,
3100,0,,,,,,31,Oblique Pole Longitude,,Oblique Pole Longitude,,,,,,,,,,,,,,,,,
3200,0,,,,,,32,Oblique Pole Latitude,,Oblique Pole Latitude,,,,,,,,,,,,,,,,,
3300,8818,,,,,,33,Oblique Cone Standard Parallel,,Oblique Cone Standard Parallel,Latitude of pseudo standard parallel,Pseudo_Standard_Parallel_1,Pseudo_Standard_Parallel_1,,,,pseudo_standard_parallel_1,pseudo_standard_parallel_1,,,,,,,,,
3400,8832,,,,,,34,Standard Circle Latitude,,Standard Circle Latitude,Latitude of Standard Parallel,Standard_Parallel_1,Standard_Parallel_1,,,latitude_true_scale,standard_parallel_1,standard_parallel_1,,,,,,,,,
3500,0,,,,,,35,Affine Transformation A0 Coefficient,,Affine Transformation A0 Coefficient,,,,,,,,,,,,,,,,,
3600,0,,,,,,36,Affine Transformation B0 Coefficient,,Affine Transformation B0 Coefficient,,,,,,,,,,,,,,,,,
3700,0,,,,,,37,Affine Transformation A1 Coefficient,,Affine Transformation A1 Coefficient,,,,,,,,,,,,,,,,,
3800,0,,,,,,38,Affine Transformation A2 Coefficient,,Affine Transformation A2 Coefficient,,,,,,,,,,,,,,,,,
3900,0,,,,,,39,Affine Transformation B1 Coefficient,,Affine Transformation B1 Coefficient,,,,,,,,,,,,,,,,,
4000,0,,,,,,40,Affine Transformation B2 Coefficient,,Affine Transformation B2 Coefficient,,,,,,,,,,,,,,,,,
4100,0,,,,,,41,Normal Parallel,,Normal Parallel,,,,,,,,,,,,,,,,,
4200,0,,,,,,42,"Danish 34/45 Region (1=J, 2=S, 3=B)",,"Danish 34/45 Region (1=J, 2=S, 3=B)",,,,,,,Region,,,,,,,,,,
4300,8814,,,,,,43,Skew Azimuth at Rectified Origin,,Skew Azimuth at Rectified Origin,Angle from Rectified to Skew Grid,XY_Plane_Rotation,,,,,rectified_grid_angle,rectified_grid_angle,RectifiedGridAngle,,,,,,,,
4400,0,,,,,,44,X Coordinate of Scale/Rotate Origin,,X Coordinate of Scale/Rotate Origin,,,,,,,,,,,,,,,,,
4500,0,,,,,,45,Y Coordinate of Scale/Rotate Origin,,Y Coordinate of Scale/Rotate Origin,,,,,,,,,,,,,,,,,
4600,0,,,,,,46,Cartesian Scale Factor,,Cartesian Scale Factor,,,,,,,,,,,,,,,,,
4700,0,,,,,,47,Cartesian Rotation Angle,,Cartesian Rotation Angle,,,,,,,,,,,,,,,,,
4800,8806,,,,,,101,False Easting,,False Easting,False easting,False_Easting,False_Easting,,,false_easting,false_easting,false_easting,FalseEasting,False_Easting,false_easting,,,,,,
4900,8807,,,,,,102,False Northing,,False Northing,False northing,False_Northing,False_Northing,,,false_northing,false_northing,false_northing,FalseNorthing,False_Northing,false_northing,,,,,,
5000,8801,,,,,,104,Origin Latitude,,Origin Latitude,Latitude of natural origin,Latitude_Of_Origin,Latitude_Of_Origin,,,latitude_of_origin,latitude_of_origin,latitude_of_origin,NatOriginLat,Latitude_Of_Origin,,,,,,,
5100,8802,,,,,,103,Origin Longitude,,Origin Longitude,Longitude of natural origin,Central_Meridian,Central_Meridian,,,central_meridian,central_meridian,central_meridian,NatOriginLong,Central_Meridian,,,,,,,
5200,8805,,,,,,105,Scale Reduction,,Scale Reduction,Scale factor at natural origin,Scale_Factor,Scale_Factor,,,scale_factor,scale_factor,scale_factor,ScaleAtNatOrigin,Scale_Factor,scale_factor,,,,,,
5300,8605,,,,,,151,Delta X,,Delta X,X-axis translation,X_Axis_Translation,X Axis Translation,,,,X_Axis_Translation,,X_Axis_Translation,,,,,,,,
5400,8606,,,,,,152,Delta Y,,Delta Y,Y-axis translation,Y_Axis_Translation,Y Axis Translation,,,,Y_Axis_Translation,,Y_Axis_Translation,,,,,,,,
5500,8607,,,,,,153,Delta Z,,Delta Z,Z-axis translation,Z_Axis_Translation,Z Axis Translation,,,,Z_Axis_Translation,,Z_Axis_Translation,,,,,,,,
5600,8608,,,,,,154,Rotate X,,Rotate X,X-axis rotation,X_Axis_Rotation,X Axis Rotation,,,,X_Axis_Rotation,,X_Axis_Rotation,,,,,,,,
5700,8609,,,,,,155,Rotate Y,,Rotate Y,Y-axis rotation,Y_Axis_Rotation,Y Axis Rotation,,,,Y_Axis_Rotation,,Y_Axis_Rotation,,,,,,,,
5800,8610,,,,,,156,Rotate Z,,Rotate Z,Z-axis rotation,Z_Axis_Rotation,Z Axis Rotation,,,,Z_Axis_Rotation,,Z_Axis_Rotation,,,,,,,,
