SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
8000,9813,,,,,,501,,,,Laborde Oblique Mercator,,,,,,Laborde_Oblique_Mercator,Laborde_Oblique_Mercator,CT_ObliqueMercator_Laborde,,,,,,,,
8100,9816,,,,,,502,,,,Tunisia Mining Grid,,,,,Tunisia_Mining_Grid,Tunisia_Mining_Grid,Tunisia_Mining_Grid,,,,,,,,,
8200,9817,,,,,,503,,,,Lambert Conic Near-Conformal,,,,,Lambert_Conic_Near-Conformal,Lambert Conic Near-Conformal,Lambert Conic Near-Conformal,,,,,,,,,
8300,9826,,,,,,506,,,,Lambert Conic Conformal (West Orientated),,,,,Lambert_Conic_Conformal_West_Orientated,Lambert Conic Conformal (West Orientated),Lambert Conic Conformal (West Orientated),,,,,,,,,
8400,0,,,,,,1281,HOM1UV,,Unrectified Hotine Oblique Mercator,,,,,,,Unrectified Hotine Oblique Mercator Projection,,,,,,,,,,
8500,9812,,,,,,1282,HOM1XY,,Alaska Variation of Hotine Oblique Mercator,Hotine Oblique Mercator,Hotine_Oblique_Mercator_Azimuth_Natural_Origin,Hotine Oblique Mercator,,,Hotine_Oblique_Mercator,Hotine_Oblique_Mercator,Hotine_Oblique_Mercator,CT_ObliqueMercator_Hotine,Hotine Oblique Mercator,,,,,,,
8600,0,,,,,,1283,HOM2UV,,"Unrectified Hotine Oblique Mercator, Two Point Form",,,,,,,"Unrectified Hotine Oblique Mercator Projection, Two Point Form",,,,,,,,,,
8700,0,,,,,,1284,HOM2XY,,"Rectified Skew Orthomorphic, Two Point Form",,Hotine_Oblique_Mercator_Two_Point_Natural_Origin,,,,,"Rectified Skew Orthomorphic, Two Point Form","Rectified Skew Orthomorphic, Two Point Form",,,,,,,,,
8800,9815,,,,,,1285,RSKEW,,"Rectified Skew Orthomorphic, Azimuth at Projection Center",Oblique Mercator,Rectified_Skew_Orthomorphic_Natural_Origin,,,,,Oblique_Mercator,Oblique_Mercator,CT_ObliqueMercator,,,,,,,,
8900,0,,,,,,1286,RSKEWC,,"Rectified Skew Orthomorphic, False Origin and Azimuth at Center",,Hotine_Oblique_Mercator_Azimuth_Center,,,,,"Rectified Skew Orthomorphic, Origin & Azimuth at Center",,,,,,,,,,
9000,0,,,,,,1287,RSKEWO,,"Rectified Skew Orthomorphic, Skew Azimuth at Rectified Origin",,Rectified_Skew_Orthomorphic_Natural_Origin,,,,,"Rectified Skew Orthomorphic, Skew Azimuth at Rectified Origin",,,,,,,,,,
