SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
15700,4239,4239,4239,0,0,0,,Indian54.LL,Indian54.LL,Indian1954.LL,Indian 1954,GCS_Indian_1954,Indian 1954,,,Indian 1954,,,,,,,,,0,0,0
15800,4240,4240,4240,0,0,0,,Indian75.LL,Indian75.LL,Indian75/E.LL,Indian 1975,GCS_Indian_1975,Indian 1975,,,Indian 1975,,,,,,,,,0,0,0
15900,4241,4241,4241,0,0,0,,Jamaica1875.LL,Jamaica1875.LL,,Jamaica 1875,GCS_Jamaica_1875,Jamaica 1875,,,Jamaica 1875,,,,,,,,,0,0,0
16000,4242,4242,4242,0,0,0,,Jamaica69.LL,Jamaica69.LL,Jamaica1969.LL,JAD69,GCS_Jamaica_1969,JAD69,,,JAD69,,,,,,,,,0,0,0
16100,4243,4243,4243,0,0,0,,Kalianpur1880.LL,Kalianpur1880.LL,,Kalianpur 1880,GCS_Kalianpur_1880,Kalianpur 1880,,,Kalianpur 1880,,,,,,,,,0,0,0
16200,4244,4244,4244,0,0,8239,,Kandawala.LL,Kandawala.LL,Kandawala.LL,Kandawala,GCS_Kandawala,Kandawala,,,Kandawala,,,,Longitude / Latitude (Kandawala),,,,,0,0,0
16300,4245,4245,4245,0,0,8241,,Kertau48.LL,Kertau48.LL,Kertau48.LL,Kertau 1968,GCS_Kertau,Kertau,,,Kertau,,,,Longitude / Latitude (Kertau 1948),,,,,0,0,0
16400,4246,4246,4246,0,0,0,,KuwaitOilCo.LL,KuwaitOilCo.LL,KuwaitOil.LL,KOC,GCS_Kuwait_Oil_Company,KOC,,,KOC,,,,,,,,,0,0,0
16500,4247,4247,4247,0,0,0,,LaCanoa.LL,LaCanoa.LL,LaCanoa/E.LL,La Canoa,GCS_La_Canoa,La Canoa,,,La Canoa,,,,,,,,,0,0,0
16600,4248,4248,4248,0,0,8282,,LLPSAD56,PSAD56.LL,LL-PSAD56|LLPSAD56,PSAD56,GCS_Provisional_S_American_1956,PSAD56,,,PSAD56,,,,Longitude / Latitude (Provisional South American 1956),,,,,0,0,0
16700,4249,4249,4249,0,0,0,,Lake.LL,Lake.LL,,Lake,GCS_Lake,Lake,,,Lake,,,,,,,,,0,0,0
16800,4250,4250,4250,0,0,0,,Leigon.LL,Leigon.LL,Leigon_1.LL,Leigon,GCS_Leigon,Leigon,,,Leigon,,,,,,,,,0,0,0
16900,4251,4251,4251,0,0,8243,,Liberia.LL,Liberia.LL,Liberia.LL,Liberia 1964,GCS_Liberia_1964,Liberia 1964,,,Liberia 1964,,,,Longitude / Latitude (Liberia 1964),,,,,0,0,0
17000,4252,4252,4252,0,0,0,,Lome.LL,Lome.LL,,Lome,GCS_Lome,Lome,,,Lome,,,,,,,,,0,0,0
