SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
100,0,,,,,,,IYard,,IYard,Yard,,Yard,,,,IYard,IYard,,Yard,,,,,,,
200,0,,,,,,,Centimeter,,Centimeter,,,Centimeter,,,,,,,Centimeter,,,,,,,
300,0,,,,,,,Millimeter,,Millimeter,,,Millimeter,,,,,,,Millimeter,,,,,,,
400,0,,,,,,,Rod,,Rod,,,Rod,,,,Rod,,,Rod,,,,,,,
500,0,,,,,,,ModAmFt,,ModAmFt,,,Modified American Foot,,,,,Modified American Foot,,Modified American Foot,,,,,,,
600,0,,,,,,,Inch,,Inch,,,Inch,,,,,,,Inch,,,,,,,
700,0,,,,,,,50kilometers,,50kilometers,,50_Kilometers,,,,,,,,,,,,,,,
800,0,,,,,,,150Kilometers,,150Kilometers,,150_Kilometers,,,,,,,,,,,,,,,
900,0,,,,,,,Fathom,,Fathom,,,Fathom,,,,,Fathom,,Fathom,,,,,,,
1000,0,,,,,,,NautM-UK,,NautM-UK,,,Nautical Mile (UK),,,,,,,Nautical Mile (UK),,,,,,,
1100,9001,,,,,,,Meter,,Meter,metre,Meter,Meter,,,metre,Meter,Meter,Meter,Meter,METER,,,,,,
1200,9002,,,,,,,IFoot,,IFoot,foot,Foot,Foot (International),,,3.048 dm,Foot_Intnl,Foot (International),Foot_Intnl,Foot (International),,,,,,,
1300,9003,,,,,,,Foot,,Foot,US survey foot,Foot_US,foot,,,3.048 dm,Foot_US|US survey foot,U.S. Foot|US survey foot,Foot_US,U.S. Foot,,,,,,,
1400,9005,,,,,,,ClarkeFoot,,ClarkeFoot,Clarke's foot,Foot_Clarke,Clarke's Foot,,,,foot_clarke|Clarke's foot,Clarke's foot,Foot_Clarke,Clarke's Foot,,,,,,,
1500,9030,,,,,,,NautM,,NautM,nautical mile,,Nautical Mile,,,,Nautical Mile,Nautical Mile,,Nautical Mile,,,,,,,
1600,9031,,,,,,,GermanMeter,,GermanMeter,German legal metre,German_Meter,German legal metre,,,German legal metre,german_meter|German legal metre,german_meter|German legal metre,German legal metre,German legal metre,,,,,,,
1700,9033,,,,,,,GunterChain,,GunterChain,US survey chain,,,,,,Chain,,,,,,,,,,
1800,9034,,,,,,,GunterLink,,GunterLink,US survey link,,,,,,Link,,,,,,,,,,
1900,9035,,,,,,,Mile,,Mile,US survey mile,Mile_US,,,,,Mile_US,Mile_US,Mile_US,,,,,,,,
2000,9036,,,,,,,Kilometer,,Kilometer,kilometre,Kilometer,Kilometre,,,kilometre,Kilometer,Kilometer,Kilometer,Kilometer,,,,,,,
2100,9037,,,,,,,ClarkeYard,,ClarkeYard,Clarke's yard,Yard_Clarke,,,,,Yard_Clarke,Yard_Clarke,Yard_Clarke,,,,,,,,
2200,9038,,,,,,,ClarkeChain,,ClarkeChain,Clarke's chain,,,,,,,,,,,,,,,,
2300,9039,,,,,,,ClarkeLink,,ClarkeLink,Clarke's link,Link_Clarke,,,,,Link_Clarke,Link,Link_Clarke,,,,,,,,
2400,9040,,,,,,,SearsYard,,SearsYard,British yard (Sears 1922),Yard_Sears,British yard (Sears 1922),,,,Yard_Sears|British yard (Sears 1922),British yard (Sears 1922),Yard_Sears,Yard (Sears),,,,,,,
2500,9041,,,,,,,SearsFoot,,SearsFoot,British foot (Sears 1922),Foot_Sears,British foot (Sears 1922),,,3.048 dm,SearsFoot|British foot (Sears 1922),SearsFoot|British foot (Sears 1922),,Foot (Sears),,,,,,,
2600,9042,,,,,,,SearsChain,,SearsChain,British chain (Sears 1922),Chain_Sears,British chain (Sears 1922),,,2.012 dam,Chain_Sears|British chain (Sears 1922),Chain (Sears)|British chain (Sears 1922),,Chain (Sears),,,,,,,
2700,9043,,,,,,,SearsLink,,SearsLink,British link (Sears 1922),Link_Sears,Link (Sears),,,,British link (Sears 1922),Link (Sears),,Link (Sears),,,,,,,
2800,9062,,,,,,,BenoitChain,,BenoitChain,British chain (Benoit 1895 B),Chain_Benoit_1895_B,British chain (Benoit 1895 B),,,2.012 dam,benoit_chain|British chain (Benoit 1895 B),Chain (Benoit)|British chain (Benoit 1895 B),BenoitChain,Chain (Benoit),,,,OGC alias for British chain (Benoit 1895 B),,,
2900,9063,,,,,,,BenoitLink,,BenoitLink,British link (Benoit 1895 B),Link_Benoit_1895_B,Link (Benoit),,,,benoit_link,Link (Benoit),BenoitLink,Link (Benoit),,,,,,,
3000,9080,,,,,,,IndianFoot,,IndianFoot,Indian foot,,,,,,,Indian Foot,,,,,,,,,
3100,9083,,,,,,,IndianFt75,,IndianFt75,Indian foot (1975),,Indian Foot,,,,,,,Indian Foot,,,,,,,
3200,9084,,,,,,,IndianYard,,IndianYard,Indian yard,Yard_Indian,,,,,Yard_Indian|Indian yard,Yard (Indian)|Indian yard,Yard_Indian,,,,,,,,
3300,9085,,,,,,,IndianYd37,,IndianYd37,Indian yard (1937),Yard_Indian_1937,,,,,IndianYd37,IndianYd37,,,,,,,,,
3400,9086,,,,,,,IndianYd62,,IndianYd62,Indian yard (1962),Yard_Indian_1962,,,,,IndianYd62,IndianYd62,,,,,,,,,
3500,9087,,,,,,,IndianYd75,,IndianYd75,Indian yard (1975),Yard_Indian_1975,Indian yard,,,,IndianYd75,IndianYd75,,Indian yard,,,,,,,
3600,9093,,,,,,,IMile,,IMile,Statute Mile,,Mile,,,,IMile,IMile,,Mile,,,,,,,
3700,9094,,,,,,,GoldCoastFoot,,GoldCoastFoot,Gold Coast foot,Foot_Gold_Coast,Gold Coast foot,,,3.048 dm,gold_coast_foot|Gold Coast foot,gold_coast_foot|Gold Coast foot,GoldCoastFoot,Gold Coast foot,,,,,,,
3800,9097,,,,,,,IntnlChain,,IntnlChain,chain,chain,Chain,,,,,,,Chain,,,,,,,
3900,9098,,,,,,,IntnlLink,,IntnlLink,link,link,Link,,,,,,,Link,,,,,,,
