SeqNbr,EpsgNbr,EsriNbr,OracleNbr,MapInfoNbr,OemNbr,Oracle9Nbr,CsMapNbr,CsMapName,CtmxName,AdskName,EpsgName,EsriName,OracleName,MapInfoName,OemName,GeoToolsName,OcrName,OgcName,GeoTiffName,Oracle9Name,LegacyName,CnvrsnName,CnvrsnComment,MaintenanceComment,Quality,UserFlag,RfcnQualifier
19100,2212,2212,2212,0,0,0,,ED50.GK3d-15,ED50.GK3d-15,ED50.GK3d-15,ED50 / 3-degree Gauss-Kruger zone 15,ED_1950_3_Degree_GK_Zone_15,ED50 / 3-degree Gauss-Kruger zone 15,,,,,,,,,,,,0,0,0
19200,2213,2213,2213,0,0,0,,ETRS89.TM-30NE,ETRF89.TM-30NE,ETRS89.TM-30NE,ETRS89 / TM 30 NE,ETRS_1989_TM_30_NE,ETRS89 / TM 30 NE,,,ETRS89 / TM 30 NE,,,,,,,,,0,0,0
19300,2215,2215,2215,0,0,0,,Manoca62.UTM-32N,Manoca62.UTM-32N,Manoca1962.UTM-32N,Manoca 1962 / UTM zone 32N,Manoca_1962_UTM_Zone_32N,Manoca 1962 / UTM zone 32N,,,Manoca 1962 / UTM zone 32N,,,,,,,,,0,0,0
19400,2216,2216,2216,0,0,0,,Qornoq27.UTM-22N,Qornoq27.UTM-22N,Qornoq1927.UTM-22N,Qornoq 1927 / UTM zone 22N,Qornoq_1927_UTM_Zone_22N,Qornoq 1927 / UTM zone 22N,,,Qornoq 1927 / UTM zone 22N,,,,,,,,,0,0,0
19500,2217,2217,2217,0,0,0,,Qornoq27.UTM-23N,Qornoq27.UTM-23N,Qornoq1927.UTM-23N,Qornoq 1927 / UTM zone 23N,Qornoq_1927_UTM_Zone_23N,Qornoq 1927 / UTM zone 23N,,,Qornoq 1927 / UTM zone 23N,,,,,,,,,0,0,0
19600,2218,0,2218,0,0,0,,Greenland52-5E,Scoresbysund52.Greenland-5E,,Scoresbysund 1952 / Greenland zone 5 east,,Scoresbysund 1952 / Greenland zone 5 east,,,Scoresbysund 1952 / Greenland zone 5 east,,,,,,,,,0,0,0
19700,2219,2219,2219,0,0,0,,ATS77.UTM-19N,ATS77.UTM-19N,ATS77.UTM-19N|CANNB-19N-ATS,ATS77 / UTM zone 19N,ATS_1977_UTM_Zone_19N,ATS77 / UTM zone 19N,,,,,,,,,,,,0,0,0
19800,2220,2220,2220,0,0,0,,ATS77.UTM-20N,ATS77.UTM-20N,ATS77.UTM-20N|CANNB-20N-ATS,ATS77 / UTM zone 20N,ATS_1977_UTM_Zone_20N,ATS77 / UTM zone 20N,,,,,,,,,,,,0,0,0
19900,2221,0,2221,0,0,0,,Greenland52-6E,Scoresbysund52.Greenland-6E,,Scoresbysund 1952 / Greenland zone 6 east,,Scoresbysund 1952 / Greenland zone 6 east,,,Scoresbysund 1952 / Greenland zone 6 east,,,,,,,,,0,0,0
20000,2222,2222,2222,0,0,81977,,AZ83-EIF,NAD83.AZ-EI.IntnlFt,AZ83-EIF,NAD83 / Arizona East (ft),NAD_1983_StatePlane_Arizona_East_FIPS_0201_Feet_Intl,NAD83 / Arizona East (ft),,,,,,,"Arizona 0201, Eastern Zone (1983, feet)",,,,,0,0,0
20100,2223,2223,2223,0,0,81981,,AZ83-CIF,NAD83.AZ-CI.IntnlFt,AZ83-CIF,NAD83 / Arizona Central (ft),NAD_1983_StatePlane_Arizona_Central_FIPS_0202_Feet_Intl,NAD83 / Arizona Central (ft),,,,,,,"Arizona 0202, Central Zone (1983, feet)",,,,,0,0,0
20200,2224,2224,2224,0,0,81985,,AZ83-WIF,NAD83.AZ-WI.IntnlFt,AZ83-WIF,NAD83 / Arizona West (ft),NAD_1983_StatePlane_Arizona_West_FIPS_0203_Feet_Intl,NAD83 / Arizona West (ft),,,,,,,"Arizona 0203, Western Zone (1983, feet)",,,,,0,0,0
20300,2225,102641,2225,0,0,40971,,CA83-IF,NAD83.CA-I.USFt,CA83-IF,NAD83 / California zone 1 (ftUS),NAD_1983_StatePlane_California_I_FIPS_0401_Feet,NAD83 / California zone 1 (ftUS),,,,,,,"California 0401, Zone I (1983, US Survey feet)",,,,,0,0,0
20400,2226,102642,2226,0,0,40974,,CA83-IIF,NAD83.CA-II.USFt,CA83-IIF,NAD83 / California zone 2 (ftUS),NAD_1983_StatePlane_California_II_FIPS_0402_Feet,NAD83 / California zone 2 (ftUS),,,,,,,"California 0402, Zone II (1983, US Survey feet)",,,,,0,0,0
