Lat/Long, -84.000, -83.750, -83.500, -83.250, -83.000, -82.750, -82.500, -82.250, -82.000, -81.750, -81.500, -81.250, -81.000, -80.750, -80.500, -80.250, -80.000, -79.750, -79.500, -79.250, -79.000, -78.750, -78.500, -78.250, -78.000, -77.750, -77.500, -77.250, -77.000, -76.750
  41.000,-0.00726,-0.00624,-0.00526,-0.00435,-0.00355,-0.00291,-0.00247,-0.00225,-0.00222,-0.00239,-0.00271,-0.00323,-0.00393,-0.00443,-0.00414,-0.00355,-0.00316,-0.00286,-0.00261,-0.00220,-0.00169,-0.00125,-0.00098,-0.00080,-0.00053,-0.00013, 0.00031, 0.00074, 0.00113, 0.00150
  40.750,-0.00708,-0.00604,-0.00504,-0.00411,-0.00329,-0.00266,-0.00226,-0.00211,-0.00221,-0.00247,-0.00286,-0.00345,-0.00445,-0.00542,-0.00496,-0.00421,-0.00370,-0.00344,-0.00335,-0.00283,-0.00205,-0.00144,-0.00119,-0.00116,-0.00088,-0.00039, 0.00015, 0.00062, 0.00102, 0.00140
  40.500,-0.00693,-0.00588,-0.00485,-0.00389,-0.00305,-0.00240,-0.00203,-0.00200,-0.00229,-0.00274,-0.00317,-0.00362,-0.00478,-0.00589,-0.00560,-0.00585,-0.00400,-0.00394,-0.00438,-0.00365,-0.00237,-0.00147,-0.00128,-0.00161,-0.00126,-0.00064, 0.00005, 0.00052, 0.00091, 0.00130
  40.250,-0.00681,-0.00576,-0.00473,-0.00373,-0.00284,-0.00216,-0.00180,-0.00189,-0.00248,-0.00337,-0.00411,-0.00438,-0.00608,-0.00715,-0.00593,-0.00444,-0.00373,-0.00446,-0.00603,-0.00474,-0.00259,-0.00130,-0.00114,-0.00226,-0.00157,-0.00083, 0.00000, 0.00038, 0.00074, 0.00116
  40.000,-0.00676,-0.00574,-0.00471,-0.00369,-0.00274,-0.00197,-0.00153,-0.00167,-0.00261,-0.00427,-0.00608,-0.00691,-0.01122,-0.00908,-0.00686,-0.00512,-0.00578,-0.00534,-0.00827,-0.00588,-0.00282,-0.00126,-0.00075,-0.00300,-0.00127,-0.00093,-0.00016, 0.00002, 0.00046, 0.00099
  39.750,-0.00679,-0.00583,-0.00485,-0.00385,-0.00286,-0.00195,-0.00131,-0.00124,-0.00221,-0.00431,-0.00729,-0.00692,-0.00714,-0.00700,-0.00574,-0.00397,-0.00180,-0.00567,-0.00700,-0.00610,-0.00418,-0.00285,-0.00193,-0.00092, 0.00077,-0.00091,-0.00185,-0.00079, 0.00015, 0.00090
  39.500,-0.00690,-0.00606,-0.00519,-0.00428,-0.00333,-0.00236,-0.00147,-0.00089,-0.00126,-0.00220,-0.00400,-0.00532,-0.00575,-0.00510,-0.00348,-0.00039,-0.00503,-0.00516,-0.00782,-0.00794,-0.00596,-0.00360,-0.00189,-0.00073, 0.00010, 0.00001,-0.00019,-0.00002, 0.00050, 0.00110
  39.250,-0.00708,-0.00639,-0.00569,-0.00499,-0.00426,-0.00350,-0.00277,-0.00199,-0.00199,-0.00207,-0.00403,-0.00502,-0.00501,-0.00486,-0.00392,-0.00317,-0.00497,-0.00798,-0.00979,-0.00989,-0.00814,-0.00518,-0.00193,-0.00097,-0.00003, 0.00004, 0.00022, 0.00055, 0.00094, 0.00140
  39.000,-0.00728,-0.00675,-0.00627,-0.00585,-0.00549,-0.00528,-0.00573,-0.00703,-0.00598,-0.00452,-0.00497,-0.00500,-0.00500,-0.00500,-0.00500,-0.00490,-0.00604,-0.00686,-0.00800,-0.00900,-0.00770,-0.00400,-0.00117,-0.00101, 0.00001, 0.00008, 0.00088, 0.00102, 0.00126, 0.00164
