Lat/Long, -81.000, -80.750, -80.500, -80.250, -80.000, -79.750, -79.500, -79.250, -79.000, -78.750, -78.500, -78.250, -78.000, -77.750, -77.500, -77.250, -77.000, -76.750, -76.500, -76.250, -76.000, -75.750, -75.500, -75.250, -75.000, -74.750, -74.500, -74.250, -74.000, -73.750, -73.500, -73.250, -73.000, -72.750, -72.500, -72.250, -72.000, -71.750, -71.500, -71.250, -71.000, -70.750, -70.500, -70.250, -70.000
  46.000,-0.00771,-0.00684,-0.00596,-0.00510,-0.00427,-0.00350,-0.00280,-0.00222,-0.00178,-0.00150,-0.00141,-0.00153,-0.00186,-0.00238,-0.00308,-0.00393,-0.00485,-0.00577,-0.00654,-0.00702,-0.00704,-0.00649,-0.00534,-0.00366,-0.00159, 0.00055, 0.00243, 0.00373, 0.00419, 0.00385, 0.00297, 0.00184, 0.00067,-0.00034,-0.00114,-0.00177,-0.00231,-0.00279,-0.00323,-0.00364,-0.00403,-0.00440,-0.00476,-0.00511,-0.00546
  45.750,-0.00698,-0.00623,-0.00549,-0.00476,-0.00406,-0.00342,-0.00284,-0.00237,-0.00202,-0.00181,-0.00178,-0.00193,-0.00228,-0.00281,-0.00352,-0.00440,-0.00539,-0.00643,-0.00737,-0.00803,-0.00816,-0.00761,-0.00634,-0.00442,-0.00194, 0.00057, 0.00263, 0.00400, 0.00417, 0.00335, 0.00198, 0.00058,-0.00075,-0.00166,-0.00219,-0.00254,-0.00282,-0.00309,-0.00336,-0.00364,-0.00392,-0.00420,-0.00448,-0.00476,-0.00504
  45.500,-0.00622,-0.00560,-0.00499,-0.00440,-0.00384,-0.00333,-0.00289,-0.00253,-0.00228,-0.00215,-0.00217,-0.00235,-0.00270,-0.00321,-0.00389,-0.00475,-0.00576,-0.00690,-0.00804,-0.00893,-0.00924,-0.00867,-0.00727,-0.00514,-0.00205, 0.00097, 0.00296, 0.00434, 0.00397, 0.00247, 0.00044,-0.00109,-0.00259,-0.00316,-0.00324,-0.00320,-0.00320,-0.00327,-0.00340,-0.00356,-0.00375,-0.00396,-0.00417,-0.00439,-0.00461
  45.250,-0.00543,-0.00494,-0.00446,-0.00400,-0.00359,-0.00323,-0.00292,-0.00270,-0.00255,-0.00251,-0.00259,-0.00279,-0.00313,-0.00358,-0.00417,-0.00492,-0.00587,-0.00703,-0.00837,-0.00959,-0.01015,-0.00950,-0.00794,-0.00583,-0.00164, 0.00259, 0.00315, 0.00445, 0.00304, 0.00083,-0.00212,-0.00337,-0.00501,-0.00474,-0.00410,-0.00362,-0.00337,-0.00329,-0.00331,-0.00340,-0.00352,-0.00367,-0.00383,-0.00399,-0.00417
  45.000,-0.00460,-0.00423,-0.00388,-0.00357,-0.00331,-0.00310,-0.00295,-0.00286,-0.00284,-0.00289,-0.00303,-0.00326,-0.00357,-0.00394,-0.00437,-0.00490,-0.00562,-0.00666,-0.00810,-0.00976,-0.01077,-0.00983,-0.00789,-0.00670,-0.00100, 0.00900, 0.00200, 0.00300, 0.00000,-0.00200,-0.00600,-0.00700,-0.00790,-0.00577,-0.00437,-0.00363,-0.00328,-0.00313,-0.00311,-0.00315,-0.00323,-0.00333,-0.00345,-0.00357,-0.00371
  44.750,-0.00373,-0.00346,-0.00323,-0.00307,-0.00296,-0.00293,-0.00295,-0.00303,-0.00314,-0.00329,-0.00350,-0.00377,-0.00406,-0.00433,-0.00455,-0.00474,-0.00501,-0.00561,-0.00690,-0.00903,-0.01094,-0.00929,-0.00640,-0.00696,-0.00700,-0.00533,-0.00559,-0.00609,-0.00766,-0.00668,-0.00721,-0.01900,-0.00752,-0.00476,-0.00374,-0.00324,-0.00298,-0.00285,-0.00282,-0.00283,-0.00288,-0.00295,-0.00303,-0.00312,-0.00322
  44.500,-0.00280,-0.00263,-0.00252,-0.00249,-0.00256,-0.00271,-0.00293,-0.00318,-0.00344,-0.00370,-0.00399,-0.00432,-0.00464,-0.00484,-0.00486,-0.00463,-0.00423,-0.00396,-0.00443,-0.00657,-0.01000,-0.00701,-0.00696,-0.00700,-0.00709,-0.00706,-0.00728,-0.00800,-0.00809,-0.00784,-0.00700,-0.00900,-0.00580,-0.00419,-0.00338,-0.00293,-0.00268,-0.00255,-0.00249,-0.00247,-0.00249,-0.00253,-0.00258,-0.00264,-0.00271
  44.250,-0.00183,-0.00174,-0.00174,-0.00184,-0.00206,-0.00241,-0.00286,-0.00333,-0.00376,-0.00412,-0.00448,-0.00492,-0.00534,-0.00556,-0.00547,-0.00491,-0.00381,-0.00242,-0.00119,-0.00160,-0.00424,-0.00600,-0.00700,-0.00692,-0.00693,-0.00700,-0.00788,-0.00874,-0.00708,-0.00700,-0.00718,-0.00872,-0.00676,-0.00472,-0.00353,-0.00287,-0.00249,-0.00227,-0.00214,-0.00208,-0.00206,-0.00207,-0.00210,-0.00213,-0.00218
  44.000,-0.00083,-0.00080,-0.00087,-0.00108,-0.00147,-0.00203,-0.00273,-0.00348,-0.00411,-0.00454,-0.00495,-0.00552,-0.00614,-0.00648,-0.00651,-0.00590,-0.00442,-0.00258,-0.00081,-0.00178,-0.00406,-0.00506,-0.00604,-0.00595,-0.00624,-0.00614,-0.00690,-0.00656,-0.00642,-0.00838,-0.00876,-0.00907,-0.00618,-0.00468,-0.00357,-0.00280,-0.00230,-0.00197,-0.00178,-0.00166,-0.00160,-0.00158,-0.00158,-0.00159,-0.00161
