Lat/Long, -84.000, -83.750, -83.500, -83.250, -83.000, -82.750, -82.500, -82.250, -82.000, -81.750, -81.500, -81.250, -81.000, -80.750, -80.500, -80.250, -80.000, -79.750, -79.500, -79.250, -79.000, -78.750, -78.500, -78.250, -78.000, -77.750, -77.500, -77.250, -77.000, -76.750
  41.000, 0.00013,-0.00000,-0.00013,-0.00026,-0.00040,-0.00056,-0.00074,-0.00097,-0.00129,-0.00173,-0.00234,-0.00314,-0.00402,-0.00457,-0.00517,-0.00711,-0.00795,-0.00703,-0.00579,-0.00447,-0.00315,-0.00195,-0.00087, 0.00004, 0.00082, 0.00170, 0.00268, 0.00363, 0.00450, 0.00535
  40.750,-0.00039,-0.00058,-0.00078,-0.00097,-0.00117,-0.00137,-0.00159,-0.00184,-0.00215,-0.00256,-0.00316,-0.00408,-0.00526,-0.00546,-0.00509,-0.00772,-0.00784,-0.00592,-0.00473,-0.00362,-0.00250,-0.00157,-0.00078,-0.00021, 0.00005, 0.00067, 0.00160, 0.00242, 0.00308, 0.00370
  40.500,-0.00091,-0.00116,-0.00142,-0.00167,-0.00193,-0.00219,-0.00246,-0.00275,-0.00308,-0.00348,-0.00398,-0.00495,-0.00712,-0.00724,-0.00733,-0.00883,-0.00400,-0.00315,-0.00345,-0.00296,-0.00205,-0.00147,-0.00090,-0.00060,-0.00122,-0.00084, 0.00030, 0.00105, 0.00152, 0.00193
  40.250,-0.00141,-0.00171,-0.00203,-0.00236,-0.00268,-0.00301,-0.00334,-0.00370,-0.00412,-0.00460,-0.00495,-0.00533,-0.00884,-0.00784,-0.00628,-0.00901,-0.00700,-0.00254,-0.00376,-0.00327,-0.00210,-0.00204,-0.00147,-0.00098,-0.00341,-0.00320,-0.00135,-0.00066,-0.00035,-0.00005
  40.000,-0.00188,-0.00223,-0.00260,-0.00299,-0.00338,-0.00378,-0.00417,-0.00460,-0.00520,-0.00612,-0.00695,-0.00685,-0.00714,-0.00794,-0.00791,-0.00731,-0.00694, 0.00115,-0.00513,-0.00463,-0.00288,-0.00380,-0.00286,-0.00100,-0.00677,-0.00683,-0.00371,-0.00315,-0.00274,-0.00232
  39.750,-0.00232,-0.00270,-0.00311,-0.00354,-0.00399,-0.00445,-0.00487,-0.00526,-0.00587,-0.00731,-0.00894,-0.00805,-0.00792,-0.00700,-0.00785,-0.00582,-0.00460, 0.00596,-0.00700,-0.00701,-0.00643,-0.00672,-0.00482,-0.00336,-0.00778,-0.01174,-0.00951,-0.00705,-0.00560,-0.00473
  39.500,-0.00273,-0.00310,-0.00351,-0.00396,-0.00446,-0.00499,-0.00544,-0.00562,-0.00573,-0.00745,-0.00900,-0.00812,-0.00807,-0.00807,-0.00651, 0.00361,-0.00888,-0.00732,-0.00899,-0.00943,-0.00895,-0.00831,-0.00685,-0.00743,-0.00880,-0.01011,-0.00989,-0.00861,-0.00753,-0.00673
  39.250,-0.00309,-0.00343,-0.00380,-0.00422,-0.00472,-0.00531,-0.00590,-0.00595,-0.00507,-0.00914,-0.00633,-0.00705,-0.00793,-0.00891,-0.00898,-0.00978,-0.01317,-0.01345,-0.01114,-0.00737,-0.00610,-0.00408,-0.00583,-0.00850,-0.00835,-0.01083,-0.00938,-0.00919,-0.00879,-0.00832
  39.000,-0.00342,-0.00370,-0.00398,-0.00428,-0.00465,-0.00520,-0.00607,-0.00610,-0.00256,-0.00525,-0.00590,-0.00700,-0.00800,-0.00900,-0.01000,-0.01186,-0.01294,-0.01290,-0.01200,-0.00900,-0.00583,-0.00400,-0.00778,-0.00988,-0.00997,-0.01100,-0.01091,-0.01040,-0.01001,-0.00968
