Lat/Long,-119.000,-118.750,-118.500,-118.250,-118.000,-117.750,-117.500,-117.250,-117.000,-116.750,-116.500,-116.250,-116.000,-115.750,-115.500,-115.250,-115.000,-114.750,-114.500,-114.250,-114.000,-113.750,-113.500,-113.250,-113.000,-112.750,-112.500,-112.250,-112.000,-111.750,-111.500,-111.250,-111.000,-110.750,-110.500,-110.250,-110.000,-109.750,-109.500,-109.250,-109.000
  50.000, 0.01316, 0.01124, 0.00958, 0.00827, 0.00732, 0.00658, 0.00560, 0.00429, 0.00302, 0.00205, 0.00138, 0.00082, 0.00018,-0.00056,-0.00163,-0.00307,-0.00477,-0.00657,-0.00828,-0.00976,-0.01085,-0.01143,-0.01141,-0.01083,-0.00986,-0.00876,-0.00762,-0.00647,-0.00527,-0.00403,-0.00280,-0.00158,-0.00034, 0.00088, 0.00197, 0.00293, 0.00389, 0.00482, 0.00552, 0.00592, 0.00607
  49.750, 0.01120, 0.00912, 0.00742, 0.00617, 0.00555, 0.00537, 0.00454, 0.00284, 0.00129, 0.00024,-0.00021,-0.00055,-0.00104,-0.00143,-0.00229,-0.00369,-0.00539,-0.00718,-0.00887,-0.01030,-0.01135,-0.01184,-0.01161,-0.01071,-0.00938,-0.00813,-0.00697,-0.00588,-0.00472,-0.00351,-0.00240,-0.00136,-0.00026, 0.00088, 0.00168, 0.00224, 0.00291, 0.00369, 0.00413, 0.00408, 0.00371
  49.500, 0.00911, 0.00680, 0.00510, 0.00386, 0.00360, 0.00457, 0.00403, 0.00142,-0.00055,-0.00178,-0.00185,-0.00196,-0.00257,-0.00232,-0.00297,-0.00439,-0.00607,-0.00779,-0.00940,-0.01069,-0.01168,-0.01210,-0.01167,-0.01044,-0.00862,-0.00734,-0.00623,-0.00530,-0.00416,-0.00288,-0.00190,-0.00113,-0.00020, 0.00108, 0.00153, 0.00149, 0.00178, 0.00259, 0.00275, 0.00219, 0.00125
  49.250, 0.00688, 0.00417, 0.00277, 0.00135, 0.00113, 0.00439, 0.00443,-0.00014,-0.00230,-0.00402,-0.00344,-0.00332,-0.00490,-0.00326,-0.00383,-0.00541,-0.00694,-0.00840,-0.00979,-0.01072,-0.01160,-0.01192,-0.01133,-0.00994,-0.00735,-0.00648,-0.00550,-0.00490,-0.00366,-0.00205,-0.00123,-0.00090,-0.00033, 0.00164, 0.00163, 0.00068, 0.00040, 0.00157, 0.00122,-0.00011,-0.00151
  49.000, 0.00450, 0.00106, 0.00085,-0.00083,-0.00202, 0.00447, 0.00561,-0.00200,-0.00299,-0.00606,-0.00500,-0.00473,-0.00862,-0.00432,-0.00539,-0.00721,-0.00816,-0.00892,-0.00991,-0.01016,-0.01082,-0.01050,-0.00992,-0.00900,-0.00557,-0.00600,-0.00501,-0.00489,-0.00328,-0.00084,-0.00025,-0.00053,-0.00088, 0.00252, 0.00200, 0.00022,-0.00111, 0.00068,-0.00102,-0.00417,-0.00473
  48.750, 0.00148,-0.00200,-0.00084,-0.00131,-0.00100, 0.00000, 0.00213,-0.00015,-0.00105,-0.00425,-0.00831,-0.00987,-0.00919,-0.00850,-0.00909,-0.01018,-0.01000,-0.00902,-0.00920,-0.00916,-0.00981,-0.00509,-0.00644,-0.00555,-0.00595,-0.00611,-0.00594,-0.00515,-0.00255, 0.00061, 0.00082, 0.00054,-0.00019, 0.00078, 0.00191, 0.00244,-0.00029,-0.00132,-0.00446,-0.00710,-0.00641
  48.500,-0.00909,-0.01011,-0.00906,-0.00598,-0.00411,-0.00330,-0.00124,-0.00150,-0.00144,-0.00300,-0.00842,-0.01080,-0.01200,-0.01256,-0.01181,-0.01103,-0.01100,-0.00936,-0.00993,-0.01076,-0.01085,-0.00849,-0.00926,-0.00840,-0.00751,-0.00711,-0.00676,-0.00509,-0.00281,-0.00143,-0.00008, 0.00000,-0.00009,-0.00148, 0.00059, 0.00138,-0.00059,-0.00120,-0.00372,-0.00500,-0.00475
  48.250,-0.01104,-0.01110,-0.01118,-0.01041,-0.00928,-0.00832,-0.00655,-0.00582,-0.00404,-0.00469,-0.00982,-0.01170,-0.01400,-0.01240,-0.01193,-0.01087,-0.01200,-0.00881,-0.00729,-0.00856,-0.00986,-0.01035,-0.00993,-0.00916,-0.00950,-0.00838,-0.00716,-0.00495,-0.00130,-0.00084,-0.00026,-0.00007, 0.00046, 0.00070, 0.00188, 0.00237, 0.00115, 0.00016,-0.00091,-0.00100,-0.00139
  48.000,-0.01098,-0.01105,-0.01106,-0.01134,-0.01077,-0.00996,-0.00478,-0.00831,-0.00551,-0.00423,-0.00600,-0.00643,-0.00725,-0.00990,-0.00581,-0.00718,-0.00993,-0.01076,-0.01004,-0.01132,-0.01197,-0.01155,-0.00987,-0.00910,-0.00950,-0.00875,-0.00778,-0.00726,-0.00343,-0.00090,-0.00044, 0.00064, 0.00223, 0.00340, 0.00379, 0.00400, 0.00284, 0.00166, 0.00156, 0.00183, 0.00152
  47.750,-0.01028,-0.01101,-0.01116,-0.01193,-0.00466,-0.00825,-0.00758,-0.00760,-0.00710,-0.00330,-0.00472,-0.00355,-0.00349,-0.00444,-0.00479,-0.00697,-0.00766,-0.00919,-0.01060,-0.01193,-0.01150,-0.01072,-0.00899,-0.00812,-0.00760,-0.00790,-0.00713,-0.00709,-0.00506,-0.00323,-0.00166, 0.00098, 0.00373, 0.00406, 0.00395, 0.00323, 0.00299, 0.00200, 0.00198, 0.00213, 0.00297
  47.500,-0.01092,-0.01188,-0.01201,-0.01210,-0.00998,-0.00892,-0.00805,-0.00727,-0.00569,-0.00131,-0.00329,-0.00299,-0.00294,-0.00317,-0.00472,-0.00584,-0.00769,-0.00835,-0.01013,-0.01082,-0.01006,-0.00869,-0.00645,-0.00706,-0.00610,-0.00610,-0.00601,-0.00600,-0.00432,-0.00272,-0.00106,-0.00100, 0.00117, 0.00237, 0.00307, 0.00299, 0.00302, 0.00297, 0.00276, 0.00215, 0.00285
  47.250,-0.01100,-0.01127,-0.01189,-0.01296,-0.01173,-0.01003,-0.00904,-0.00781,-0.00703,-0.00494,-0.00434,-0.00378,-0.00366,-0.00390,-0.00445,-0.00591,-0.00787,-0.00915,-0.01018,-0.00991,-0.00931,-0.00776,-0.00394,-0.00765,-0.00683,-0.00604,-0.00506,-0.00508,-0.00406,-0.00177, 0.00019, 0.00150, 0.00178, 0.00284, 0.00299, 0.00291, 0.00303, 0.00304, 0.00275, 0.00265, 0.00210
  47.000,-0.01078,-0.01003,-0.01077,-0.01115,-0.01048,-0.01003,-0.00898,-0.00837,-0.00632,-0.00609,-0.00496,-0.00388,-0.00339,-0.00378,-0.00410,-0.00640,-0.00888,-0.01122,-0.01365,-0.01329,-0.01130,-0.00915,-0.00598,-0.00671,-0.00604,-0.00569,-0.00400,-0.00400,-0.00296,-0.00154, 0.00049, 0.00153, 0.00189, 0.00315, 0.00304, 0.00306, 0.00385, 0.00318, 0.00175, 0.00309, 0.00270
  46.750,-0.01002,-0.00924,-0.00991,-0.00983,-0.00872,-0.00904,-0.00757,-0.00691,-0.00515,-0.00525,-0.00509,-0.00451,-0.00467,-0.00418,-0.00534,-0.00750,-0.00977,-0.01221,-0.01590,-0.01462,-0.01069,-0.00842,-0.00611,-0.00577,-0.00540,-0.00473,-0.00374,-0.00285, 0.00072, 0.00592, 0.00518, 0.00301, 0.00307, 0.00389, 0.00369, 0.00377, 0.00409, 0.00446, 0.00463, 0.00483, 0.00448
  46.500,-0.00922,-0.00818,-0.00797,-0.00857,-0.00857,-0.00823,-0.00771,-0.00700,-0.00601,-0.00600,-0.00600,-0.00596,-0.00489,-0.00465,-0.00624,-0.00735,-0.00947,-0.01128,-0.01123,-0.00796,-0.00452,-0.00271,-0.00470,-0.00478,-0.00480,-0.00304,-0.00196,-0.00064, 0.00352, 0.01405, 0.00950, 0.00357, 0.00348, 0.00310, 0.00375, 0.00454, 0.00511, 0.00643, 0.00691, 0.00648, 0.00648
  46.250,-0.00809,-0.00703,-0.00650,-0.00616,-0.00622,-0.00607,-0.00601,-0.00633,-0.00585,-0.00475,-0.00422,-0.00359,-0.00239,-0.00211,-0.00200,-0.00137,-0.00743,-0.00852,-0.00498, 0.00086, 0.00234, 0.00102,-0.00127,-0.00136,-0.00057, 0.00020, 0.00074, 0.00042, 0.00142, 0.00950, 0.00848, 0.00451, 0.00355, 0.00334, 0.00402, 0.00533, 0.00658, 0.00771, 0.00794, 0.00788, 0.00689
