Lat/Long, -89.000, -88.750, -88.500, -88.250, -88.000, -87.750, -87.500, -87.250, -87.000, -86.750, -86.500, -86.250, -86.000, -85.750, -85.500, -85.250, -85.000, -84.750, -84.500, -84.250, -84.000, -83.750, -83.500, -83.250, -83.000, -82.750, -82.500, -82.250, -82.000, -81.750, -81.500, -81.250, -81.000, -80.750, -80.500
  45.500,-0.01002,-0.01044,-0.01088,-0.01135,-0.01185,-0.01239,-0.01298,-0.01360,-0.01425,-0.01492,-0.01560,-0.01628,-0.01696,-0.01761,-0.01824,-0.01885,-0.01944,-0.02002,-0.02059,-0.02117,-0.02175,-0.02235,-0.02295,-0.02357,-0.02420,-0.02483,-0.02546,-0.02609,-0.02672,-0.02733,-0.02794,-0.02855,-0.02915,-0.02975,-0.03034
  45.250,-0.00989,-0.01035,-0.01084,-0.01135,-0.01189,-0.01247,-0.01309,-0.01373,-0.01440,-0.01508,-0.01576,-0.01642,-0.01706,-0.01765,-0.01821,-0.01873,-0.01923,-0.01971,-0.02019,-0.02069,-0.02120,-0.02175,-0.02232,-0.02292,-0.02355,-0.02418,-0.02483,-0.02548,-0.02613,-0.02678,-0.02741,-0.02805,-0.02867,-0.02930,-0.02992
  45.000,-0.00978,-0.01029,-0.01081,-0.01136,-0.01195,-0.01256,-0.01321,-0.01389,-0.01458,-0.01528,-0.01595,-0.01660,-0.01719,-0.01772,-0.01819,-0.01862,-0.01900,-0.01938,-0.01976,-0.02016,-0.02061,-0.02110,-0.02164,-0.02223,-0.02286,-0.02351,-0.02418,-0.02486,-0.02553,-0.02621,-0.02688,-0.02754,-0.02820,-0.02885,-0.02950
  44.750,-0.00971,-0.01025,-0.01082,-0.01141,-0.01203,-0.01268,-0.01336,-0.01407,-0.01479,-0.01550,-0.01618,-0.01680,-0.01735,-0.01781,-0.01819,-0.01850,-0.01876,-0.01901,-0.01927,-0.01957,-0.01994,-0.02039,-0.02090,-0.02148,-0.02212,-0.02279,-0.02349,-0.02420,-0.02492,-0.02563,-0.02633,-0.02703,-0.02771,-0.02840,-0.02908
  44.500,-0.00969,-0.01027,-0.01087,-0.01149,-0.01214,-0.01283,-0.01354,-0.01427,-0.01501,-0.01574,-0.01643,-0.01704,-0.01755,-0.01794,-0.01821,-0.01838,-0.01849,-0.01858,-0.01871,-0.01890,-0.01919,-0.01958,-0.02008,-0.02066,-0.02132,-0.02203,-0.02277,-0.02352,-0.02428,-0.02503,-0.02578,-0.02651,-0.02723,-0.02795,-0.02866
  44.250,-0.00972,-0.01034,-0.01096,-0.01161,-0.01228,-0.01298,-0.01371,-0.01447,-0.01524,-0.01600,-0.01670,-0.01731,-0.01777,-0.01808,-0.01822,-0.01824,-0.01817,-0.01809,-0.01806,-0.01812,-0.01833,-0.01867,-0.01916,-0.01976,-0.02046,-0.02121,-0.02200,-0.02281,-0.02362,-0.02442,-0.02521,-0.02598,-0.02674,-0.02749,-0.02823
  44.000,-0.00983,-0.01046,-0.01111,-0.01177,-0.01244,-0.01314,-0.01387,-0.01464,-0.01544,-0.01623,-0.01697,-0.01758,-0.01802,-0.01824,-0.01825,-0.01808,-0.01780,-0.01751,-0.01729,-0.01722,-0.01733,-0.01765,-0.01814,-0.01878,-0.01953,-0.02035,-0.02120,-0.02208,-0.02294,-0.02380,-0.02464,-0.02545,-0.02625,-0.02703,-0.02781
  43.750,-0.01000,-0.01065,-0.01130,-0.01195,-0.01260,-0.01328,-0.01398,-0.01474,-0.01556,-0.01640,-0.01720,-0.01785,-0.01827,-0.01841,-0.01827,-0.01788,-0.01736,-0.01682,-0.01639,-0.01617,-0.01620,-0.01650,-0.01702,-0.01772,-0.01854,-0.01944,-0.02037,-0.02132,-0.02225,-0.02317,-0.02406,-0.02492,-0.02575,-0.02657,-0.02738
  43.500,-0.01023,-0.01087,-0.01151,-0.01213,-0.01275,-0.01335,-0.01399,-0.01471,-0.01554,-0.01645,-0.01733,-0.01806,-0.01850,-0.01857,-0.01828,-0.01765,-0.01683,-0.01600,-0.01533,-0.01496,-0.01493,-0.01524,-0.01582,-0.01660,-0.01752,-0.01851,-0.01953,-0.02056,-0.02156,-0.02253,-0.02348,-0.02438,-0.02526,-0.02611,-0.02695
